School_ID,Name_of_School,Elementary_Middle_High_School,Students_Passing_Algebra,X10_Grade_Plan_2009,X10_Grade_Plan_2010,Graduation_Rate
610389,Orr Academy High School,HS,,13.6,13.3,
610248,Chicago Academy Elementary School,ES,53.8,,,
610055,Michael Faraday Elementary School,ES,,,,
610110,Ida B Wells Preparatory Elementary Academy,ES,,,,
610053,Marquette Elementary School,ES,,,,
609702,Richard T Crane Technical Preparatory High School,HS,,13.2,13.6,48
609986,Charles R Henderson Elementary School,ES,,,,
610342,Albert R Sabin Elementary Magnet School,ES,,,,
609803,James G Blaine Elementary School,ES,63.3,,,
610253,Julia C Lathrop Elementary School,ES,,,,
610321,Thurgood Marshall Middle School,MS,,,,
609820,Augustus H Burley Elementary School,ES,80,,,
609867,Peter Cooper Elementary Dual Language Academy,ES,,,,
610083,Daniel C Beard Elementary School,ES,,,,
610159,Jonathan Y Scammon Elementary School,ES,100,,,
609866,John C Coonley Elementary School,ES,,,,
610182,Hannah G Solomon Elementary School,ES,93.3,,,
610157,Sidney Sawyer Elementary School,ES,82.1,,,
610082,Mount Greenwood Elementary School,ES,,,,
610249,Talman Elementary School,ES,,,,
610237,Ludwig Van Beethoven Elementary School,ES,70.6,,,
610312,Mary E McDowell Elementary School,ES,,,,
610104,William J Onahan Elementary School,ES,,,,
610109,William Bishop Owen Scholastic Academy Elementary School,ES,54.5,,,
610221,Daniel Webster Elementary School,ES,,,,
609746,Kenwood Academy High School,HS,49,16.8,16.9,69.5
609682,Ellen H Richards Career Academy High School,HS,,13.1,12.8,57.3
609974,Hawthorne Elementary Scholastic Academy,ES,91.8,,,
610499,Collins Academy High School,HS,,14.2,14.1,
609990,South Loop Elementary School,ES,,,,
610264,Walter Reed Elementary School,ES,,,,
609679,Charles Allen Prosser Career Academy High School,HS,,16.3,16.2,78.7
609797,Jacob Beidler Elementary School,ES,,,,
609891,James R Doolittle Jr Elementary School,ES,,,,
609693,George Westinghouse High School,HS,,,17.1,
610515,Disney II Magnet School,ES,,,,
610034,Lawle Elementary Community Academy,ES,,,,
609759,Roberto Clemente Community Academy High School,HS,,14,13.3,49.5
609855,Walter S Christopher Elementary School,ES,,,,
609735,Edward Tilden Career Community Academy High School,HS,,12.9,12.9,41.1
610284,New Field Elementary School,ES,,,,
610263,John Foster Dulles Elementary School,ES,,,,
609906,Robert Emmet Elementary School,ES,,,,
609798,Hiram H Belding Elementary School,ES,57.7,,,
610348,Nathan R Goldblatt Elementary School,ES,,,,
610227,Eli Whitney Elementary School,ES,,,,
610088,Wolfgang A Mozart Elementary School,ES,,,,
609864,John W Cook Elementary School,ES,,,,
610052,Horace Mann Elementary School,ES,,,,
609993,Agustin Lara Elementary Academy,ES,25,,,
609894,John B Drake Elementary School,ES,,,,
610002,Thomas Hoyne Elementary School,ES,,,,
609981,Phobe Apperson Hearst Elementary School,ES,,,,
609791,Perkins Bass Elementary School,ES,,,,
609766,Jacqueline B Vaughn Occupational High School,HS,,,,65.3
609897,Charles W Earle Elementary School,ES,,,,
609800,Frank I Bennett Elementary School,ES,,,,
609836,Arthur E Canty Elementary School,ES,100,,,
609943,Samuel Gompers Fine Arts Options Elementary School,ES,,,,
609976,Stephen K Hayt Elementary School,ES,,,,
609988,Patrick Henry Elementary School,ES,,,,
610215,Francisco I Madero Middle School,MS,50,,,
609755,Whitney M Young Magnet High School,HS,89.2,22.6,22.8,93.9
610153,William H Ryder Math & Science Specialty Elementary School,ES,,,,
609935,Matthew Gallistel Elementary Language Academy,ES,,,,
610217,James Ward Elementary School,ES,50,,,
610068,Hanson Park Elementary School,ES,88.2,,,
610357,Spry Community Links High School,HS,,15.5,15.9,73.7
609751,Dr  Martin Luther King  Jr  College Prep High School,HS,,17.7,18.1,75.4
610363,Walt Disney Magnet Elementary School,ES,74.1,,,
610156,Louis Armstrong Math & Science Elementary School,ES,,,,
610246,Edward Beasley Elementary Magnet Academic Center,ES,76.8,,,
610544,Mariano Azuela Elementary School,ES,,,,
609678,William Jones College Preparatory High School,HS,,21.3,21.1,90.1
610045,Robert H Lawrence Elementary School,ES,,,,
609845,George Washington Carver Primary School,ES,,,,
609916,Enrico Fermi Elementary School,ES,,,,
610290,Benjamin E Mays Elementary Academy,ES,,,,
610032,Wendell E Green Elementary School,ES,,,,
610097,William P Nixon Elementary School,ES,,,,
609839,Carroll-Rosenwald Specialty Elementary School,ES,,,,
609775,John P Altgeld Elementary School,ES,,,,
610334,Al Raby High School,HS,,14.1,14,72.2
609975,John Hay Elementary Community Academy,ES,,,,
609918,Eugene Field Elementary School,ES,20,,,
610201,Ole A Thorp Elementary Scholastic Academy,ES,100,,,
609873,Crown Community Academy of Fine Arts Center Elementary School,ES,,,,
610520,LaSalle II Magnet Elementary School,ES,,,,
609762,Percy L Julian High School,HS,,14.2,13.9,60.3
610173,Jesse Sherwood Elementary School,ES,71.4,,,
610015,Joseph Jungman Elementary School,ES,,,,
610150,Betsy Ross Elementary School,ES,,,,
610005,Charles Evans Hughes Elementary School,ES,,,,
610202,George W Tilton Elementary School,ES,,,,
610163,Frederick Stock Elementary School,ES,,,,
610072,Garrett A Morgan Elementary School,ES,,,,
610024,Lazaro Cardenas Elementary School,ES,,,,
610135,Portage Park Elementary School,ES,66.7,,,
610098,Alfred Nobel Elementary School,ES,44.4,,,
609888,Mary Mapes Dodge Elementary Renaissance Academy,ES,19,,,
609987,Thomas A Hendricks Elementary Community Academy,ES,,,,
610029,Rodolfo Lozano Bilingual & International Center Elementary School,ES,,,,
610012,Edward Jenner Elementary Academy of the Arts,ES,31.8,,,
610325,Logale Middle School,MS,37.5,,,
610250,Rueben Salazar Elementary Bilingual Center,ES,,,,
610081,Mark Sheridan Elementary Math & Science Academy,ES,65.6,,,
610023,William H King Elementary School,ES,7.7,,,
610161,Arna Wendell Bontemps Elementary School,ES,,,,
609807,Lionel Hampton Fine & Performing Arts Elementary School,ES,,,,
610541,Federico Garcia Lorca Elementary School,ES,42.3,,,
609947,Alexander Graham Elementary School,ES,31.8,,,
609996,Charles N Holden Elementary School,ES,,,,
610245,Frederick A Douglass Academy High School,HS,,13.8,13.5,52.8
610075,Moses Montefiore Special Elementary School,ES,,,,
610218,Joseph Warren Elementary School,ES,,,,
609769,Ray Graham Training Center High School,HS,,,,16.3
609973,Emiliano Zapata Elementary Academy,ES,52.9,,,
609921,Telpochcalli Elementary School,ES,,,,
609786,Avalon Park Elementary School,ES,,,,
610107,James Otis Elementary School,ES,,,,
610091,Ronald Brown Elementary Community Academy,ES,,,,
610273,Ignance Paderewski Elementary Learning Academy,ES,,,,
610102,Richard J Oglesby Elementary School,ES,,,,
610380,Daniel Hale Williams Prep School of Medicine,HS,25,15.8,15.4,
610152,Martha Ruggles Elementary School,ES,,,,
609949,William P Gray Elementary School,ES,34.9,,,
610364,William E B Dubois Elementary School,ES,,,,
609705,Christian Fenger Academy High School,HS,,12.9,13.3,34.8
610160,Songhai Elementary Learning Institute,ES,,,,
610383,Greater Lawle High School For Social Justice,HS,,14.5,14.4,67
609740,Wells Community Academy High School,HS,,14.2,13.6,59.3
610396,Tarkington School of Excellence Elementary School,ES,53.3,,,
610040,Henry D Lloyd Elementary School,ES,,,,
609704,David G Farragut Career Academy High School,HS,,14.4,13.9,43.2
610127,Mary Gage Peterson Elementary School,ES,83.3,,,
610095,Walter L Newberry Math & Science Academy Elementary School,ES,,,,
610000,Julia Ward Howe Elementary School of Excellence,ES,,,,
400018,Austin Business and Entrepreneurship Academy High School,HS,,14.3,12.9,65.6
609865,Jordan Elementary Community School,ES,23.1,,,
609869,Anna R. Langford Community Academy,ES,,,,
610093,Jane A Neil Elementary School,ES,,,,
610258,Florence B Price Elementary School,ES,,,,
610197,Mancel Talcott Elementary School,ES,57.9,,,
609806,Myra Bradwell Communications Arts & Sciences Elementary School,ES,,,,
610196,George B Swift Elementary Specialty School,ES,,,,
610317,Brighton Park Elementary School,ES,,,,
610188,Dunne Technology Academy,ES,,,,
609792,Newton Bateman Elementary School,ES,67.7,,,
610144,Frank W Reilly Elementary School,ES,69,,,
610235,Ella Flagg Young Elementary School,ES,,,,
610329,Orozco Fine Arts & Sciences Elementary School,ES,,,,
610320,Ana Roque de Duprey Elementary School,ES,,,,
610524,Alcott High School for the Humanities,HS,,,16,
609875,Charles R Darwin Elementary School,ES,50,,,
609710,John M Harlan Community Academy High School,HS,40,14.1,13.7,47.9
609901,Edgebrook Elementary School,ES,64,,,
609827,Burnside Elementary Scholastic Academy,ES,,,,
609832,Michael M Byrne Elementary School,ES,56.3,,,
